Distance,Velocity,Y-H2,Y-H,Y-O,Y-O2,Y-OH,Y-H2O,Y-HO2,Y-H2O2,Y-AR,Y-N2,Y_dot_net-H2,Y_dot_net-H,Y_dot_net-O,Y_dot_net-O2,Y_dot_net-OH,Y_dot_net-H2O,Y_dot_net-HO2,Y_dot_net-H2O2,Y_dot_net-AR,Y_dot_net-N2,Y_dot_pos-H2,Y_dot_pos-H,Y_dot_pos-O,Y_dot_pos-O2,Y_dot_pos-OH,Y_dot_pos-H2O,Y_dot_pos-HO2,Y_dot_pos-H2O2,Y_dot_pos-AR,Y_dot_pos-N2,Y_dot_neg-H2,Y_dot_neg-H,Y_dot_neg-O,Y_dot_neg-O2,Y_dot_neg-OH,Y_dot_neg-H2O,Y_dot_neg-HO2,Y_dot_neg-H2O2,Y_dot_neg-AR,Y_dot_neg-N2,Cp-H2,Cp-H,Cp-O,Cp-O2,Cp-OH,Cp-H2O,Cp-HO2,Cp-H2O2,Cp-AR,Cp-N2,h-H2,h-H,h-O,h-O2,h-OH,h-H2O,h-HO2,h-H2O2,h-AR,h-N2,Le-H2,Le-H,Le-O,Le-O2,Le-OH,Le-H2O,Le-HO2,Le-H2O2,Le-AR,Le-N2,EnthalpyTot,MixtureFraction,Temperature,Density,MolarWeightMix,Cp,Conductivity,ViscosityDyn,Heat_Release
0.0,0.8427281596986917,0.01762582864206348,-4.598689771407223e-16,4.684518101987863e-15,0.228892902486153,-6.012544049030031e-15,5.815259769029618e-13,3.399745766018068e-14,6.970127479526182e-16,-1.3527634053831518e-21,0.7534812688711691,2.1138112180027075e-11,2.5233248284123787e-09,-1.917561534415766e-13,8.043604813062922e-08,1.7872900748596557e-10,-1.8910632941845465e-10,-8.296994199320101e-08,6.532475177335657e-20,0.0,0.0,4.227622436643021e-11,5.057218712919942e-09,-3.835018200178412e-13,1.608720962615396e-07,3.5725420009521363e-10,-1.8910632941845465e-10,-8.29699419926164e-08,6.554842037884659e-20,0.0,0.0,-1.1992691296206643e-09,-253.40104157853614,0.019165588502998706,-3.51413465658955e-07,-17.863259624459943,4.616740569078171e-20,-5.826374161895293e-08,-2.2365301658965177e-11,0.0,0.0,14310.905255369766,20621.187049705277,1368.8549802484818,918.4346250541901,1756.8040342682866,1864.9154285171269,1058.2922391213085,1248.2607990901083,520.30429400208,1037.8911357957468,26468.504562941045,216305198.36295998,15576859.095759204,1698.8180076617405,2316820.345096972,-13420065.30530805,382249.1355220106,-3992495.54472827,962.5629439038321,1970.9938579517504,0.3991572439824365,0.2866016619734868,1.0188354063378524,1.6379197581808327,1.0376283745817785,1.4490404967999597,1.5841388161304324,1.594593778974692,1.6435441643115785,1.6685397097444978,2340.483655599943,0.017625828593239086,300.0,0.9492689432084341,23.368352754642057,1244.4962607670143,0.045691156795701744,1.848403413789256e-05,-0.5171792099763587
0.001,0.8427257574098925,0.017625561263081305,-9.082883063675473e-20,3.8687124038641964e-14,0.22889296887486033,-1.0517172789534585e-16,1.894431178218845e-11,1.6547292846390575e-13,7.85001204618158e-14,-1.352763731956981e-21,0.7534814698428315,1.7063240365386747e-13,4.15156764656664e-13,-1.5835215973410281e-12,1.588704609477593e-11,4.806032675911418e-12,-3.3078270599477613e-12,-1.6387520823994672e-11,1.5422855745928158e-18,0.0,0.0,3.4126480731386453e-13,9.156297314299797e-13,-3.167043192604113e-12,3.177408378358225e-11,7.92877566206172e-12,-3.3078270599477613e-12,-1.6387530996455296e-11,1.5425324419269554e-18,0.0,0.0,-9.680962836661316e-12,-0.05004729713190531,0.15774190147546124,-6.940815074489226e-11,-0.3122775828923277,4.8509421892321824e-18,1.0006873949884707e-06,-2.4494451673265877e-11,0.0,0.0,14310.905293399035,20621.18704970528,1368.854976576454,918.4346267069037,1756.8040317196371,1864.915431169117,1058.2922450424678,1248.2608101337266,520.30429400208,1037.8911366390105,26468.645026915812,216305198.5653605,15576859.109194748,1698.8270222542026,2316820.362340303,-13420065.28700359,382249.1459093294,-3992495.5324763767,962.5680507791812,1971.0040450301665,0.39915625875302596,0.2866004674073597,1.018832041976567,1.6379143324070726,1.0376249651752911,1.4490358746391645,1.584133821903328,1.5945887604769722,1.6435390525102676,1.6685310724968327,2340.4890562350565,0.017625560713627683,300.0000098151705,0.9492716490498477,23.368420129457956,1244.4927056106408,0.045690914579997736,1.848403761549414e-05,-0.00011442762682052507
0.002,0.8426989387565912,0.017622540977003436,8.15097519004427e-19,8.716516772081764e-13,0.22889371825023602,1.274294917440232e-15,6.17260112586573e-10,5.556854539723108e-12,2.864706342002872e-12,-1.3527674824981303e-21,0.7534837401462086,-8.979878269681344e-12,-1.598547968901915e-15,-3.5677078258938686e-11,-1.42572646068645e-10,9.256352511448569e-14,4.007461671931089e-11,1.470622821880907e-10,1.7387127178287092e-15,0.0,0.0,-1.795975654121003e-11,-4.493136309960716e-12,-7.135415653906739e-11,-2.851522345198587e-10,-3.773974456784863e-11,4.0074616719310786e-11,1.4705343787833412e-10,1.7383750339445486e-15,0.0,0.0,5.095677336288401e-10,0.44915373958877153,3.2816612727690444,6.22907389223809e-10,3.782748775542449,1.643406590794537e-16,0.0005685152955564419,2.624886065669211e-08,0.0,0.0,14310.906160142442,20621.18704970528,1368.8548928854323,918.4346643747948,1756.8039736320998,1864.915491612041,1058.2923799947207,1248.2610618345427,520.30429400208,1037.891155858269,26471.84641387525,216305203.1783738,15576859.415411169,1699.03247848134,2316820.7553419434,-13420064.869817132,382249.38265208167,-3992495.2532371473,962.6844442076367,1971.2362239882777,0.3991451276943784,0.28658696308443754,1.0187940179125767,1.637852997332727,1.0375864318751147,1.4489835087047742,1.5840773614368042,1.594532025528083,1.643481248754383,1.668433469353885,2340.6852229520928,0.017622534838667554,300.00023351778026,0.9493018577841882,23.369181210043315,1244.4525666663653,0.045688191224661834,1.8484082145092575e-05,0.001037944534284404
0.0025,0.8425847074047964,0.01760937092247501,8.061628315162475e-18,8.593111696804919e-12,0.22889698004485515,1.2652059939724538e-14,7.999738116134869e-09,7.565388719004365e-11,4.0561215184780074e-11,-1.3527841697655696e-21,0.753493640908134,-8.880604332258765e-11,-3.2166119177195945e-14,-3.5191152083530516e-10,-1.4095373690643437e-09,-1.3812843733292426e-12,3.977178453832675e-10,1.4536281625281325e-09,3.2237580334263366e-13,0.0,0.0,-1.7761208689399496e-10,-4.446736168615094e-11,-7.038230422036119e-10,-2.8200903131464576e-09,-3.768456041004634e-10,3.977178453832543e-10,1.4522681404869325e-09,3.223284656257379e-13,0.0,0.0,5.043112778528174e-09,4.443515974499954,18.926983665073124,6.162392110826778e-09,37.49898802829211,1.6450697230757744e-15,0.01587811231710565,9.362456326007725e-07,0.0,0.0,14310.913677155393,20621.187049705277,1368.8541670536522,918.4349910645858,1756.8034698534707,1864.9160158272462,1058.2935504151917,1248.263244791128,520.30429400208,1037.8913225430804,26499.611458183488,216305243.18618435,15576862.071168693,1700.8143626403403,2316824.163771837,-13420061.251635702,382251.43587939127,-3992492.83144467,963.6939028555337,1973.2498692705526,0.39909655862496873,0.2865279779215338,1.0186280032255774,1.637585095681074,1.0374181924389232,1.448753795780405,1.5838307157224716,1.5942841797590304,1.643228613510472,1.6680075015493045,2342.6766309997815,0.017609341127410544,300.00217364908326,0.9494305513410642,23.372500440106407,1244.2777095540214,0.045676423293575914,1.8484321139521308e-05,0.01027961927823088
0.00275,0.8423189322732493,0.017577372313806322,4.3690629268614476e-17,4.549783486654222e-11,0.22890487488378422,7.021557914604597e-14,5.5382862226090335e-08,5.583802322924265e-10,3.0493184130730217e-10,-1.3528253881151686e-21,0.7535176965107878,-4.811249269063894e-10,-4.035760921821472e-13,-1.873792331702314e-09,-7.604861266531203e-09,-8.989666385289793e-11,2.2051169157999597e-09,7.827390114637437e-09,1.7571734647590095e-11,0.0,0.0,-9.622498637724776e-10,-2.4136984590085924e-10,-3.747584678300504e-09,-1.525410521120326e-08,-2.1716336404568187e-09,2.2051169157994758e-09,7.764568163000597e-09,1.756979796566796e-11,0.0,0.0,2.7371835107256932e-08,24.096521701648076,33.763341418708876,3.3416693061785765e-08,206.72218586014148,8.73205891224144e-15,0.11052803751365925,6.149527193241086e-06,0.0,0.0,14310.948163314917,20621.18704970528,1368.8508370298464,918.4364899993279,1756.8011585901081,1864.918421055087,1058.2989204439734,1248.2732603067273,520.30429400208,1037.8920872920023,26626.998486028984,216305426.74319702,15576874.255844362,1708.9897077595356,2316839.801736031,-13420044.65129971,382260.8561758597,-3992481.720135173,968.3253288582307,1982.4885372684578,0.398978355464095,0.2863842005506382,1.0182235986177652,1.6369320231711255,1.0370083613195222,1.4481895295793794,1.5832292908651162,1.5936798238149228,1.642612053909325,1.6669707831387939,2352.3254015963234,0.017577288695278866,300.01107502863385,0.9497301118411565,23.380568542664978,1243.8536130237055,0.04564829228570775,1.8485096193936107e-05,0.05618002439642617
0.002875,0.8419568020379864,0.01753051918371806,1.560869116759794e-16,1.4191608601457158e-10,0.2289163524025248,2.8043341257951097e-13,2.1924392978188913e-07,2.3530655083885435e-09,1.297782738897756e-09,-1.3528863824392342e-21,0.7535529053769735,-1.7147273791599096e-09,-4.148430454854514e-12,-5.979423886168322e-09,-2.6687557333356538e-08,-1.9481958048770485e-09,8.796400225932524e-09,2.7225395213450927e-08,3.1225739463321994e-10,0.0,0.0,-3.4294549084129044e-09,-8.656634343834384e-10,-1.195884798558748e-08,-5.403551860752513e-08,-1.0252454976741704e-08,8.796400225926534e-09,2.624128554964594e-08,3.12227519423305e-10,0.0,0.0,9.78138473997653e-08,86.150155701684,39.36004577451804,1.194670498020407e-07,807.7732561064266,2.7320616012236574e-14,0.4164546688661566,2.2844169009381113e-05,0.0,0.0,14311.035930863709,20621.187049705288,1368.842361421141,918.4403060180941,1756.7952760059486,1864.9245443106706,1058.3125904318445,1248.2987547735797,520.30429400208,1037.8940338882212,26951.25881118532,216305893.98074386,15576905.271349214,1729.7998048188795,2316879.607499266,-13420002.39566542,382284.8354057528,-3992453.436307937,980.1144514415116,2006.0052536606522,0.3988047792274646,0.2861725853838314,1.0176289431053671,1.6359706297868573,1.0364057091978218,1.447349038860363,1.5823435293552321,1.592789733827713,1.641702787814036,1.6654486357229004,2377.1357838561476,0.017530366692574396,300.0337331591148,0.9501385826457674,23.392390886228338,1243.2343725663436,0.04560815585671968,1.8486677407042127e-05,0.20753089222026055
0.003,0.8412217784869808,0.017423526320534493,8.608054319232311e-16,5.079634967092741e-10,0.2289422511167904,1.9427926531705307e-12,1.02875881246575e-06,1.1861231892259426e-08,6.596119545666559e-09,-1.3530264030944056e-21,0.7536331748373812,-9.4159197830092e-09,-4.921353239382638e-11,-2.4037937029503825e-08,-1.3689588106528213e-07,-3.18638216744398e-08,6.081641086178445e-08,1.3350449635283827e-07,7.941865870006076e-09,0.0,0.0,-1.8831843747910156e-08,-4.806458812643208e-09,-4.8075880005789564e-08,-2.879097665289673e-07,-8.927852170698038e-08,6.081641086168288e-08,1.1123703139054092e-07,7.94099888564396e-09,0.0,0.0,5.404143676931618e-07,475.6835809239047,46.40856571747549,6.596156223695565e-07,4807.476919336645,9.87247555928316e-14,1.875750146605822,0.0001312395811373148,0.0,0.0,14311.363251897445,20621.187049705306,1368.810743900049,918.4545529498953,1756.7733323697978,1864.9474049187438,1058.3636122423159,1248.3938961684519,520.30429400208,1037.9012973968015,28161.310076501974,216307637.55879104,15577021.009396657,1807.4570594723698,2317028.1484410227,-13419844.710202672,382374.3208011993,-3992347.885194797,1024.1076096766055,2093.7623541997164,0.3984062414427293,0.2856853673716075,1.0162613712042154,1.6337560034916767,1.035019680449856,1.4453795924502961,1.5803016526378824,1.5907378349591392,1.6396025979268036,1.661957241708064,2468.581720846518,0.017423253964224148,300.11828590784705,0.9509687494632787,23.419427563341856,1241.826257195834,0.04552004074420364,1.8491807951135266e-05,1.256231472749885
0.0030625,0.8406301934879452,0.017318629503582938,3.662150664920652e-15,1.0746452117381176e-09,0.22896714060205253,9.796616063094259e-12,2.62856530182075e-06,3.1931080341269815e-08,1.7853305298734428e-08,-1.3531636012441977e-21,0.7537115504624384,-3.978686612742534e-08,-3.5722231375975486e-10,-6.275683359611182e-08,-5.504660092778495e-07,-2.2257123139711835e-07,3.0640139373710137e-07,5.119714098278501e-07,5.756535914731348e-08,0.0,0.0,-7.957378025395856e-08,-2.0608646879018217e-08,-1.2551373814444018e-07,-1.1933243479493316e-06,-5.118409744705402e-07,3.064013937365451e-07,3.6082321996723137e-07,5.755509580918965e-08,0.0,0.0,2.2973477257729017e-06,2024.401090345939,57.859384680970436,2.807644524681822e-06,14612.080274299584,2.1164008868145355e-13,4.732093850480256,0.0005745486600711041,0.0,0.0,14311.862209599996,20621.18704970534,1368.762521273806,918.4763174685835,1756.7398667585533,1864.9823273701447,1058.4415124541695,1248.5391155494485,520.30429400208,1037.9123813881506,30008.160565782542,216310298.6320011,15577197.645272216,1925.9809714358641,2317254.8501292286,-13419604.044715166,382510.9029819094,-3992186.7761005033,1091.2505832846018,2227.6996526989724,0.3980125315071155,0.28520214700569946,1.0149071861237877,1.6315580288027198,1.033647126686991,1.4433785598137554,1.5782730703673984,1.588699234137218,1.6375103569114056,1.6585130999266275,2604.412928162045,0.0173182997333718,300.2473314959423,0.9516379672767917,23.445985362967686,1240.4542452598862,0.045438608255971596,1.8498972764402915e-05,5.718617251042119
0.00309375,0.840291496405656,0.017241041262568292,9.537797122519422e-15,1.6541853996422326e-09,0.22898508666831816,2.7061099513593656e-11,4.608362209505832e-06,5.8123423257047e-08,3.261931268157611e-08,-1.3532643992706047e-21,0.7537691712854285,-1.0310390351296423e-07,-1.186733803673594e-09,-1.2059363792876533e-07,-1.3863882486061085e-06,-6.711661774867402e-07,8.466310337256628e-07,1.24515845495545e-06,1.9064921265713936e-07,0.0,0.0,-2.0620803494011137e-07,-5.392870388166037e-08,-2.411876275002538e-07,-3.0606135948001335e-06,-1.4704788005615643e-06,8.466310337241421e-07,7.633023549262908e-07,1.9059993116876363e-07,0.0,0.0,5.9801568708725875e-06,5269.171379036973,72.46427567349997,7.3115038646425175e-06,21567.428747807226,3.299600085557276e-13,8.288796238586349,0.0015103440534180383,0.0,0.0,14312.367428952466,20621.187049705364,1368.7136615274778,918.4984130817975,1756.7059621278852,1865.0177800238826,1058.5205435774199,1248.686390506709,520.30429400208,1037.9236189675375,31881.011317096276,216312997.07356465,15577376.755220514,2046.1721355187062,2317484.730887766,-13419359.99505693,382649.4133976751,-3992023.3854800845,1159.3364179766254,2363.5192379116374,0.39771932315806385,0.28484064428412864,1.0138959187352898,1.6299128614354792,1.0326220759213778,1.4418456628442589,1.5767531859750372,1.5871717985593088,1.6359384751786683,1.6559506738530936,2737.8292576821586,0.017240724394093753,300.378189218004,0.9520215356664448,23.465658186097958,1239.4460815040177,0.04538218346112166,1.850590767853398e-05,15.342643279558706
0.003125,0.8399793150286828,0.017138753010990892,2.5541942326008572e-14,2.6365542142362553e-09,0.2290080108372072,7.491260931710783e-11,8.53132392744355e-06,1.1238897966855598e-07,6.333843669225333e-08,-1.3533958689946803e-21,0.7538445263918495,-2.754890395542314e-07,-3.3850553113774082e-09,-2.7154102619543996e-07,-3.469717605424027e-06,-1.9284022368584722e-06,2.3480202292728067e-06,2.8886661563115603e-06,7.118485777591823e-07,0.0,0.0,-5.509792617227405e-07,-1.4452921775754503e-07,-5.430839739411892e-07,-7.950109885786981e-06,-4.145279454334954e-06,2.348020229268225e-06,1.1555486896536423e-06,7.11590736856317e-07,0.0,0.0,1.607411121632357e-05,14078.457130609842,102.60245049395722,1.956434739460816e-05,26107.750489653532,5.370162053533195e-13,15.419334515033537,0.004070201512910775,0.0,0.0,14313.217895192323,20621.18704970542,1368.631340053022,918.5357402739515,1756.6488449753126,1865.077669533249,1058.6539313534904,1248.9348394855215,520.30429400208,1037.942568964747,35040.13866658172,216317548.59308404,15577678.84935043,2248.907718380172,2317872.4656694154,-13418948.34072004,382883.0653413117,-3991747.747328948,1274.1782621680754,2592.612389916014,0.39733010965838483,0.28435855124366766,1.0125497396204268,1.627717814205561,1.0312574595429411,1.4397532762095109,1.57472327048593,1.5851317370119213,1.6338333715841342,1.6525528617963634,2955.3388806865896,0.01713854069058862,300.5989097569565,0.9523753490184179,23.491628244076587,1238.126186793341,0.04531295308248876,1.8517272610366087e-05,42.69293322731556
